omega_rad_per_s,Real_Gjw,Imag_Gjw
0.000000000000000000e+00,1.000000000000000000e+00,-0.000000000000000000e+00
5.000000000000000000e-01,4.615384615384615641e-01,-3.076923076923077094e-01
1.000000000000000000e+00,3.461538461538461453e-01,-2.692307692307692180e-01
2.000000000000000000e+00,2.214765100671141074e-01,-2.550335570469798863e-01
3.000000000000000000e+00,1.420233463035019406e-01,-2.276264591439688678e-01
5.000000000000000000e+00,6.642432253800396869e-02,-1.701916721744877736e-01
1.000000000000000000e+01,1.902567634973040961e-02,-9.572219187192702872e-02
2.000000000000000000e+01,4.936759813757227167e-03,-4.944471091192024353e-02
5.000000000000000000e+01,7.983634049151419566e-04,-1.996407464468318016e-02
1.000000000000000000e+02,1.998975532847816112e-04,-9.995502336284694395e-03
